mal_id,mean_score_reco,max_score_reco,min_score_reco,mean_members_reco,max_members_reco,min_members_reco
19363,7.921428571428572,8.36,6.74,424290.85714285716,700160.0,202942.0
19365,7.189245283018868,8.64,3.48,498332.9811320755,3430848.0,1995.0
19367,7.200833333333333,8.26,6.43,312956.8333333333,1793398.0,36434.0
19369,7.302727272727273,8.93,6.11,655706.25,2513139.0,3753.0
19383,6.304814814814814,8.41,3.81,88405.03703703704,633523.0,1540.0
19391,6.922857142857143,8.41,6.15,332365.8,3035328.0,230.0
19429,7.27195652173913,8.47,5.35,649550.4130434783,2215777.0,32367.0
19489,7.3340000000000005,8.23,5.96,252661.2,641378.0,5798.0
19505,8.73,8.73,8.73,2581334.0,2581334.0,2581334.0
19511,7.46,7.46,7.46,68770.0,68770.0,68770.0
19515,2.99,2.99,2.99,5823.0,5823.0,5823.0
19533,6.88,6.88,6.88,7989.0,7989.0,7989.0
19547,,,,221.0,221.0,221.0
19569,4.92,4.92,4.92,1327.0,1327.0,1327.0
19573,7.05,7.05,7.05,37797.0,37797.0,37797.0
19575,7.04,7.04,7.04,112524.0,112524.0,112524.0
19581,5.9350000000000005,6.38,5.49,1745.5,2692.0,799.0
19587,8.01,8.01,8.01,22375.0,22375.0,22375.0
19631,7.122,7.47,6.55,21199.2,41079.0,5570.0
19633,5.785,6.1,5.47,9546.0,9773.0,9319.0
19647,7.44,8.55,5.74,237481.33333333334,328710.0,65252.0
19653,7.31,7.61,7.04,458407.6666666667,865633.0,76945.0
