mal_id,mean_score_reco,max_score_reco,min_score_reco,mean_members_reco,max_members_reco,min_members_reco,watching_mean,watching_max,watching_min,completed_mean,completed_max,completed_min,on_hold_mean,on_hold_max,on_hold_min,dropped_mean,dropped_max,dropped_min,plan_to_watch_mean,plan_to_watch_max,plan_to_watch_min,total_mean,total_max,total_min
43439,7.817241379310345,8.69,6.96,669113.7931034482,2101091.0,98294.0,43048.96551724138,137576.0,8127.0,406787.3103448276,1694383.0,45673.0,21180.896551724138,62898.0,2917.0,22719.96551724138,68119.0,1074.0,175410.2068965517,432621.0,33104.0,669147.3448275862,2101091.0,98329.0
43466,6.6850000000000005,6.83,6.54,10657.0,11126.0,10188.0,3271.5,5578.0,965.0,3987.0,7672.0,302.0,772.5,1226.0,319.0,538.0,712.0,364.0,2089.0,2371.0,1807.0,10658.0,11127.0,10189.0
43467,6.303333333333334,6.9,5.92,9286.0,11786.0,7192.0,964.0,1213.0,807.0,5907.333333333333,7943.0,4110.0,339.3333333333333,377.0,300.0,337.6666666666667,374.0,311.0,1737.3333333333333,1876.0,1560.0,9285.666666666666,11783.0,7194.0
43508,6.046666666666667,7.19,5.33,1358.3333333333333,3345.0,217.0,47.666666666666664,112.0,9.0,928.0,2350.0,154.0,34.666666666666664,93.0,4.0,79.33333333333333,162.0,21.0,269.0,629.0,29.0,1358.6666666666667,3346.0,217.0
43523,7.183333333333334,8.34,5.48,612737.4666666667,2096852.0,76656.0,49694.4,125625.0,9294.0,437527.3,1702146.0,24536.0,11712.666666666666,42734.0,1020.0,22341.6,51670.0,4993.0,91537.43333333333,242431.0,12613.0,612813.4,2096852.0,76727.0
43544,5.14,5.14,5.14,442.0,442.0,442.0,14.0,14.0,14.0,318.0,318.0,318.0,2.0,2.0,2.0,49.0,49.0,49.0,59.0,59.0,59.0,442.0,442.0,442.0
43591,7.41,7.41,7.41,73814.0,73814.0,73814.0,3017.0,3017.0,3017.0,50568.0,50568.0,50568.0,2067.0,2067.0,2067.0,1919.0,1919.0,1919.0,16249.0,16249.0,16249.0,73820.0,73820.0,73820.0
43608,7.825833333333333,8.22,7.27,877795.5,2318129.0,272583.0,67525.16666666667,201640.0,18324.0,616731.8333333334,1776440.0,175830.0,19643.25,58585.0,4754.0,27728.583333333332,71838.0,6016.0,146276.0,308712.0,57355.0,877904.8333333334,2318129.0,272666.0
43626,7.5,7.5,7.5,3370.0,3370.0,3370.0,495.0,495.0,495.0,2076.0,2076.0,2076.0,60.0,60.0,60.0,126.0,126.0,126.0,614.0,614.0,614.0,3371.0,3371.0,3371.0
43690,7.211538461538462,8.18,6.66,673898.4615384615,2100581.0,22620.0,34800.153846153844,93563.0,2124.0,470137.76923076925,1551394.0,7797.0,15080.0,52201.0,705.0,26481.69230769231,80906.0,752.0,127460.92307692308,322664.0,11241.0,673960.5384615385,2100728.0,22619.0
43691,7.532727272727272,8.55,6.44,250477.5909090909,977740.0,6454.0,21017.363636363636,108086.0,279.0,132764.13636363635,614556.0,2771.0,8798.772727272728,40647.0,265.0,10219.772727272728,45378.0,446.0,77705.09090909091,243465.0,2693.0,250505.13636363635,977916.0,6454.0
43692,7.687222222222222,8.93,5.92,536627.9444444445,3430848.0,16391.0,44838.25,239111.0,805.0,355727.75,2998253.0,7472.0,17866.166666666668,128020.0,428.0,16160.277777777777,58378.0,363.0,102089.91666666667,377913.0,4442.0,536682.3611111111,3431091.0,16393.0
43693,7.493333333333333,8.1,6.89,144120.66666666666,322820.0,49473.0,16440.666666666668,37791.0,5241.0,76753.0,177726.0,23328.0,4891.666666666667,10754.0,1944.0,5685.0,10352.0,2480.0,40360.0,86210.0,16489.0,144130.33333333334,322833.0,49482.0
43697,7.322,8.77,3.82,698781.0,3323322.0,2086.0,50803.6,229369.0,94.0,484736.6666666667,2806977.0,1172.0,18495.6,65093.0,34.0,17560.0,58889.0,76.0,127212.2,345284.0,710.0,698808.0666666667,3323322.0,2086.0
43704,5.01,5.01,5.01,624.0,624.0,624.0,15.0,15.0,15.0,455.0,455.0,455.0,6.0,6.0,6.0,61.0,61.0,61.0,87.0,87.0,87.0,624.0,624.0,624.0
43735,7.205555555555555,8.27,6.51,107735.55555555556,464892.0,12280.0,7873.222222222223,33755.0,1077.0,41261.0,166749.0,5069.0,5134.444444444444,23653.0,447.0,5495.0,17356.0,1207.0,47980.333333333336,223411.0,4483.0,107744.0,464924.0,12283.0
43745,5.336666666666667,5.82,4.79,4046.0,6422.0,503.0,102.0,208.0,18.0,2738.6666666666665,4136.0,335.0,55.666666666666664,123.0,7.0,119.66666666666667,180.0,56.0,1029.6666666666667,2166.0,87.0,4045.6666666666665,6422.0,503.0
43746,,,,119.0,119.0,119.0,4.0,4.0,4.0,59.0,59.0,59.0,1.0,1.0,1.0,29.0,29.0,29.0,26.0,26.0,26.0,119.0,119.0,119.0
43751,6.28,7.2,5.36,11638.0,18608.0,4668.0,243.5,388.0,99.0,8939.5,14579.0,3300.0,115.0,176.0,54.0,201.0,274.0,128.0,2142.0,3196.0,1088.0,11641.0,18613.0,4669.0
